deployment,dive_start,feeding_start,feeding_end,dive_end,dive_start_timestamp,descent_time,feeding_time,ascent_time,dive_time,stroke_frequency_feeding,avg_feeding_depth,avg_feeding_speed,max_dive_depth,pitch_excursion,roll_excursion,heading_excursion,depth_excursion,dist_total,dist_feeding,staightline_dist_feeding,tortuosity_feeding,avg_pitch_feeding,max_roll_feeding,time_between_dives,observed_feeding
ea230116-P47,72632,72696,73073,73143,2023-01-16 14:04:35,6.4,37.7,7,51.1,0.159151193633952,5.08724441764638,1.06430761074416,5.62107949526318,22.3613889470232,7.91587856988352,21.8189662799784,1.4098826722057,58.410599844238,39.8852440130951,38.9646510433145,0.0230810414367361,-11.1644959288736,5.05671467872651,23.6,n
ea230116-P47,73379,73453,73955,74021,2023-01-16 14:05:49,7.4,50.2,6.6,64.2,0.139442231075697,5.52276190552832,1.08218953134793,7.00919152964666,37.3026843961615,9.12950364461621,15.0090176092597,2.82716772513432,73.3647670699302,54.2806676445697,52.6064486933555,0.0308437427884464,-11.1350076098674,8.41589226039148,1.3,n
ea230116-P47,74034,74084,74260,74331,2023-01-16 14:06:55,5,17.6,7.1,29.7,0.113636363636364,5.42560375352526,1.05666325603853,6.37136594670822,40.6960846071155,5.72829713375699,9.24241658424512,2.82098655429303,36.8139706002221,18.8035076526324,17.8690210232263,0.0496974631898127,-12.2092667749704,7.67907473471534,72.1,y
ea230116-P47,75052,75090,75351,75413,2023-01-16 14:08:37,3.8,26.1,6.2,36.1,0.153256704980843,4.39448793960407,1.03030051318417,5.22302487619616,29.2939012811343,12.0549023298585,38.6085000621213,2.51799073502944,40.8346715030071,26.5123523579085,25.2834881589902,0.0463506286552422,-15.1311270449996,6.15344240062546,1.5,n
ea230116-P47,75428,75498,76590,76669,2023-01-16 14:09:14,7,109.2,7.9,124.1,0.16025641025641,4.54239891381514,1.06899360168401,5.45230549524378,26.6050794289225,8.96863035503347,45.7157964054716,1.69009346648528,134.61444117203,115.160564045082,110.982841590119,0.0362773705530669,-13.422492026921,7.24261459293495,0.9,n
ea230116-P47,76678,76738,77311,77356,2023-01-16 14:11:19,6,57.3,4.5,67.8,0.148342059336824,5.95432513959025,1.11689472291389,7.21488244315692,43.4616199617314,11.9825556099308,40.8390200980923,3.6830824464341,78.5732707785067,63.15136774162,60.4020765299729,0.0435349432635518,-13.1755018924675,10.0182705351761,27.4,n
ea230116-P47,77630,77718,78261,78324,2023-01-16 14:12:55,8.8,54.3,6.3,69.4,0.147329650092081,5.25494642747135,1.05850314283857,5.89203492153475,41.7472413195155,7.10679859296239,24.9297374187363,1.33565230830631,77.9112427868539,57.1476276380122,55.616873753762,0.0267859567845296,-11.6056989329529,6.52508807449965,2.8,n
ea230116-P47,78352,78406,78687,78782,2023-01-16 14:14:07,5.4,28.1,9.5,43,0.160142348754448,5.10504233502551,1.14104732633344,5.60549450695077,31.8996156394155,9.34953855715011,23.9992316522107,1.21938465487886,53.8052219845584,32.1268410053165,31.1018252518458,0.0319052767528896,-11.0362397817096,7.99120039277634,61.8,n
ea230116-P47,79400,79441,79651,79675,2023-01-16 14:15:52,4.1,21,2.4,27.5,0.166666666666667,4.60492738466905,1.23736117230365,5.50121325043824,42.6025100925907,8.10968270030636,20.0043133191855,3.19167889805808,37.7910663817541,26.3152953097477,25.1329446509655,0.0449301687427453,-8.46185960413796,6.98126908729567,0,n
ea230116-P47,79675,79746,80390,80472,2023-01-16 14:16:19,7.1,64.4,8.2,79.7,0.16304347826087,5.46864476200451,1.20849667564433,7.39426855718,27.6128899306306,8.79121591269653,21.3575763852775,3.32807005179478,100.197462362602,76.9735307021125,75.3426672264967,0.0211873284327725,-11.9248540455896,8.11279431943543,nan,y
